MPI + OpenMP,1,2.7053,2.7097,2.4551
MPI + OpenMP,2,2.4193,2.7097,2.4551
MPI + OpenMP,3,2.5220,2.7097,2.4551
MPI + OpenMP,4,2.2304,2.7097,2.4551
MPI + OpenMP,5,2.3760,2.7097,2.4551
MPI + OpenMP,6,2.6953,2.7097,2.4551
MPI + OpenMP,7,2.6353,2.7097,2.4551
MPI + OpenMP,8,2.3471,2.7097,2.4551
MPI + OpenMP,9,2.5588,2.7097,2.4551
MPI + OpenMP,10,2.3968,2.7097,2.4551
MPI + OpenMP,11,2.5775,2.7097,2.4551
MPI + OpenMP,12,2.1938,2.7097,2.4551
MPI + OpenMP,13,2.6761,2.7097,2.4551
MPI + OpenMP,14,2.5764,2.7097,2.4551
MPI + OpenMP,15,2.6578,2.7097,2.4551
MPI + OpenMP,0,3.2453,3.4650,3.3877
MPI + OpenMP,1,3.4522,3.4650,3.3877
MPI + OpenMP,2,3.3140,3.4650,3.3877
MPI + OpenMP,3,3.2625,3.4650,3.3877
MPI + OpenMP,4,3.2709,3.4650,3.3877
MPI + OpenMP,5,3.3211,3.4650,3.3877
MPI + OpenMP,6,3.3585,3.4650,3.3877
MPI + OpenMP,7,3.1634,3.4650,3.3877
MPI + OpenMP,8,3.2967,3.4650,3.3877
MPI + OpenMP,9,3.2048,3.4650,3.3877
MPI + OpenMP,10,3.2358,3.4650,3.3877
MPI + OpenMP,11,3.7820,3.4650,3.3877
MPI + OpenMP,12,3.2304,3.4650,3.3877
MPI + OpenMP,13,3.3276,3.4650,3.3877
MPI + OpenMP,14,3.3355,3.4650,3.3877
MPI + OpenMP,15,4.4032,3.4650,3.3877
MPI + OpenMP,0,2.4121,2.8756,2.6523
MPI + OpenMP,1,2.8611,2.8756,2.6523
MPI + OpenMP,2,2.3036,2.8756,2.6523
MPI + OpenMP,3,2.5016,2.8756,2.6523
MPI + OpenMP,4,2.1375,2.8756,2.6523
MPI + OpenMP,5,2.3708,2.8756,2.6523
MPI + OpenMP,6,2.5967,2.8756,2.6523
MPI + OpenMP,7,2.4191,2.8756,2.6523
MPI + OpenMP,8,3.0414,2.8756,2.6523
MPI + OpenMP,9,2.6852,2.8756,2.6523
MPI + OpenMP,10,2.8356,2.8756,2.6523
